N,InputType,Time_ns,Comparisons,Swaps,ArrayAccesses
100,Random,889400,4950,93,10272
100,Sorted,181600,4950,0,9900
100,ReverseSorted,292500,4950,50,10100
100,NearlySorted,140000,4950,5,9920
1000,Random,3782400,499500,992,1002968
1000,Sorted,1898800,499500,0,999000
1000,ReverseSorted,571500,499500,500,1001000
1000,NearlySorted,539900,499500,50,999200
10000,Random,39414100,49995000,9988,100029952
10000,Sorted,33359200,49995000,0,99990000
10000,ReverseSorted,35425300,49995000,5000,100010000
10000,NearlySorted,41191000,49995000,500,99992000
100000,Random,2524592000,4999950000,99982,10000299928
100000,Sorted,2501171000,4999950000,0,9999900000
100000,ReverseSorted,5360874100,4999950000,50000,10000100000
100000,NearlySorted,2464993000,4999950000,4999,9999919996
